customer_id,name,region,signup_date,is_current,effective_from,effective_to,_corrupt_record,ingestion_timestamp,source_file
1,Customer1,south,2024-07-03,true,2024-07-03,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10,Customer10,central,2024-05-13,true,2024-05-13,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
100,Customer100,central,2025-07-27,true,2025-07-27,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
1000,Customer1000,south,2025-09-10,true,2025-09-10,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10000,Customer10000,west,2024-07-14,true,2024-07-14,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10001,Customer10001,north,2024-08-21,true,2024-08-21,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10002,Customer10002,north,2024-06-30,true,2024-06-30,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10003,Customer10003,east,2025-11-08,true,2025-11-08,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10004,Customer10004,west,2024-08-17,false,2024-08-17,2024-08-17,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10004,Customer10004,west,2024-08-17,false,2024-08-17,2026-01-01,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10004,Customer10004,south,2024-08-17,true,2026-01-01,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10005,Customer10005,south,2025-08-31,true,2025-08-31,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10006,Customer10006,south,2025-03-20,true,2025-03-20,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10007,Customer10007,central,2025-01-11,true,2025-01-11,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10008,Customer10008,north,2025-04-23,true,2025-04-23,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10009,Customer10009,north,2024-05-08,true,2024-05-08,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
1001,Customer1001,central,2025-03-21,false,2025-03-21,2025-03-21,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
1001,Customer1001,central,2025-03-21,false,2025-03-21,2026-01-01,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
1001,Customer1001,central,2025-03-21,true,2026-01-01,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10010,Customer10010,east,2024-08-26,false,2024-08-26,2024-08-26,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10010,Customer10010,east,2024-08-26,false,2024-08-26,2026-01-01,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10010,Customer10010,north,2024-08-26,true,2026-01-01,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10011,Customer10011,north,2025-04-02,true,2025-04-02,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10012,Customer10012,north,2025-06-28,true,2025-06-28,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10013,Customer10013,east,2025-04-03,true,2025-04-03,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10014,Customer10014,east,2025-08-19,true,2025-08-19,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10015,Customer10015,south,2024-10-05,true,2024-10-05,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10016,Customer10016,east,2024-04-24,true,2024-04-24,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10017,Customer10017,west,2025-03-30,false,2025-03-30,2025-03-30,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10017,Customer10017,west,2025-03-30,false,2025-03-30,2026-01-01,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10017,Customer10017,east,2025-03-30,true,2026-01-01,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10018,Customer10018,south,2024-09-13,true,2024-09-13,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10019,Customer10019,east,2025-04-08,true,2025-04-08,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
1002,Customer1002,east,2024-11-01,true,2024-11-01,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10020,Customer10020,west,2025-08-22,true,2025-08-22,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10021,Customer10021,central,2025-03-27,true,2025-03-27,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10022,Customer10022,east,2024-05-26,true,2024-05-26,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10023,Customer10023,south,2024-01-31,true,2024-01-31,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10024,Customer10024,east,2024-05-13,true,2024-05-13,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10025,Customer10025,north,2025-09-30,true,2025-09-30,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10026,Customer10026,central,2024-03-07,true,2024-03-07,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10027,Customer10027,east,2024-01-13,false,2024-01-13,2024-01-13,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10027,Customer10027,east,2024-01-13,false,2024-01-13,2026-01-01,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10027,Customer10027,north,2024-01-13,true,2026-01-01,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10028,Customer10028,north,2025-11-29,true,2025-11-29,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10029,Customer10029,central,2025-08-11,true,2025-08-11,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
1003,Customer1003,south,2025-07-12,true,2025-07-12,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10030,Customer10030,west,2025-08-29,true,2025-08-29,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10031,Customer10031,south,2025-10-17,true,2025-10-17,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10032,Customer10032,east,2025-06-24,true,2025-06-24,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10033,Customer10033,north,2025-06-29,true,2025-06-29,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10034,Customer10034,east,2024-01-25,true,2024-01-25,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10035,Customer10035,south,2025-07-20,true,2025-07-20,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10036,Customer10036,west,2024-07-22,true,2024-07-22,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10037,Customer10037,south,2025-05-24,false,2025-05-24,2025-05-24,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10037,Customer10037,south,2025-05-24,false,2025-05-24,2026-01-01,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10037,Customer10037,north,2025-05-24,true,2026-01-01,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10038,Customer10038,east,2025-03-10,true,2025-03-10,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
10039,Customer10039,east,2024-12-18,true,2024-12-18,,,2026-02-17T06:33:07.847Z,file:///opt/spark-apps/data/raw/customers.csv
