customer_id,name,region,signup_date,is_current,effective_from,effective_to
1,Customer1,South,2024-07-03,True,2024-07-03,
2,Customer2,South,2024-11-30,True,2024-11-30,
3,Customer3,North,2024-03-18,True,2024-03-18,
4,Customer4,North,2024-06-25,True,2024-06-25,
5,Customer5,East,2025-08-03,True,2025-08-03,
6,Customer6,Central,2025-06-02,True,2025-06-02,
7,Customer7,West,2024-07-13,True,2024-07-13,
8,Customer8,Central,2025-06-19,True,2025-06-19,
9,Customer9,East,2024-07-19,True,2024-07-19,
10,Customer10,Central,2024-05-13,True,2024-05-13,
11,Customer11,West,2025-04-27,True,2025-04-27,
12,Customer12,East,2025-04-05,True,2025-04-05,
13,Customer13,West,2024-11-28,True,2024-11-28,
14,Customer14,West,2024-04-16,True,2024-04-16,
15,Customer15,South,2025-07-24,True,2025-07-24,
16,Customer16,Central,2024-03-07,True,2024-03-07,
17,Customer17,Central,2024-01-30,True,2024-01-30,
18,Customer18,West,2024-11-09,True,2024-11-09,
19,Customer19,Central,2025-01-17,True,2025-01-17,
20,Customer20,North,2025-08-13,True,2025-08-13,
21,Customer21,Central,2024-06-28,True,2024-06-28,
22,Customer22,South,2025-11-30,True,2025-11-30,
23,Customer23,East,2025-03-31,True,2025-03-31,
24,Customer24,North,2024-01-05,True,2024-01-05,
25,Customer25,East,2024-04-10,True,2024-04-10,
26,Customer26,North,2024-11-30,True,2024-11-30,
27,Customer27,Central,2024-11-24,True,2024-11-24,
28,Customer28,North,2024-05-16,True,2024-05-16,
29,Customer29,East,2024-06-23,True,2024-06-23,
30,Customer30,North,2024-05-26,True,2024-05-26,
31,Customer31,Central,2024-01-20,True,2024-01-20,
32,Customer32,East,2024-02-14,True,2024-02-14,
33,Customer33,East,2025-01-12,True,2025-01-12,
34,Customer34,South,2025-02-23,True,2025-02-23,
35,Customer35,East,2025-02-09,True,2025-02-09,
36,Customer36,South,2024-12-25,True,2024-12-25,
37,Customer37,West,2024-01-07,True,2024-01-07,
38,Customer38,Central,2025-04-04,True,2025-04-04,
39,Customer39,Central,2024-03-11,True,2024-03-11,
40,Customer40,West,2025-09-09,True,2025-09-09,
41,Customer41,West,2025-08-24,True,2025-08-24,
42,Customer42,West,2025-01-09,True,2025-01-09,
43,Customer43,North,2025-11-02,True,2025-11-02,
44,Customer44,North,2024-07-26,True,2024-07-26,
45,Customer45,West,2024-01-06,True,2024-01-06,
46,Customer46,Central,2024-12-29,True,2024-12-29,
47,Customer47,East,2024-03-09,True,2024-03-09,
48,Customer48,North,2024-01-02,True,2024-01-02,
49,Customer49,East,2024-01-20,True,2024-01-20,
50,Customer50,South,2024-01-22,True,2024-01-22,
51,Customer51,South,2025-03-14,True,2025-03-14,
52,Customer52,North,2025-07-18,True,2025-07-18,
53,Customer53,Central,2025-11-01,True,2025-11-01,
54,Customer54,Central,2025-07-11,True,2025-07-11,
55,Customer55,South,2024-08-25,True,2024-08-25,
56,Customer56,West,2025-04-25,True,2025-04-25,
57,Customer57,South,2024-09-29,True,2024-09-29,
58,Customer58,West,2025-04-17,True,2025-04-17,
59,Customer59,West,2025-05-25,True,2025-05-25,
60,Customer60,Central,2025-06-21,True,2025-06-21,
61,Customer61,West,2025-03-19,True,2025-03-19,
62,Customer62,Central,2024-12-26,True,2024-12-26,
63,Customer63,East,2024-06-03,True,2024-06-03,
64,Customer64,Central,2025-05-02,True,2025-05-02,
65,Customer65,Central,2025-08-14,True,2025-08-14,
66,Customer66,West,2024-05-12,True,2024-05-12,
67,Customer67,South,2024-06-02,True,2024-06-02,
68,Customer68,East,2025-06-21,True,2025-06-21,
69,Customer69,West,2025-04-18,True,2025-04-18,
70,Customer70,North,2025-06-04,True,2025-06-04,
71,Customer71,East,2024-09-03,True,2024-09-03,
72,Customer72,South,2024-10-29,True,2024-10-29,
73,Customer73,East,2025-10-23,True,2025-10-23,
74,Customer74,East,2024-05-10,True,2024-05-10,
75,Customer75,Central,2025-05-29,True,2025-05-29,
76,Customer76,Central,2025-11-23,True,2025-11-23,
77,Customer77,West,2025-04-07,True,2025-04-07,
78,Customer78,North,2024-04-17,True,2024-04-17,
79,Customer79,Central,2025-01-04,True,2025-01-04,
80,Customer80,East,2024-03-05,True,2024-03-05,
81,Customer81,Central,2024-08-28,True,2024-08-28,
82,Customer82,Central,2025-05-13,True,2025-05-13,
83,Customer83,South,2024-03-06,True,2024-03-06,
84,Customer84,Central,2024-11-13,True,2024-11-13,
85,Customer85,South,2025-05-16,True,2025-05-16,
86,Customer86,East,2024-05-04,True,2024-05-04,
87,Customer87,North,2024-04-29,True,2024-04-29,
88,Customer88,Central,2024-01-13,True,2024-01-13,
89,Customer89,North,2025-04-10,True,2025-04-10,
90,Customer90,East,2024-09-20,True,2024-09-20,
91,Customer91,South,2024-04-21,True,2024-04-21,
92,Customer92,South,2024-10-09,True,2024-10-09,
93,Customer93,West,2024-05-03,True,2024-05-03,
94,Customer94,North,2024-05-22,True,2024-05-22,
95,Customer95,North,2024-04-28,True,2024-04-28,
96,Customer96,Central,2024-12-19,True,2024-12-19,
97,Customer97,South,2024-05-26,True,2024-05-26,
98,Customer98,West,2025-11-07,True,2025-11-07,
99,Customer99,Central,2024-10-18,True,2024-10-18,
100,Customer100,Central,2025-07-27,True,2025-07-27,
101,Customer101,West,2024-01-14,True,2024-01-14,
102,Customer102,East,2025-11-28,True,2025-11-28,
103,Customer103,Central,2024-08-17,True,2024-08-17,
104,Customer104,North,2025-10-27,True,2025-10-27,
105,Customer105,South,2025-10-23,True,2025-10-23,
106,Customer106,Central,2024-04-07,True,2024-04-07,
107,Customer107,East,2025-01-19,True,2025-01-19,
108,Customer108,Central,2024-01-26,True,2024-01-26,
109,Customer109,Central,2024-03-10,True,2024-03-10,
110,Customer110,Central,2024-06-09,True,2024-06-09,
111,Customer111,Central,2024-03-17,True,2024-03-17,
112,Customer112,East,2025-06-06,True,2025-06-06,
113,Customer113,Central,2025-06-28,True,2025-06-28,
114,Customer114,West,2025-05-07,True,2025-05-07,
115,Customer115,East,2025-09-25,True,2025-09-25,
116,Customer116,West,2024-10-08,True,2024-10-08,
117,Customer117,West,2024-01-02,True,2024-01-02,
118,Customer118,East,2024-11-12,True,2024-11-12,
119,Customer119,South,2025-05-16,True,2025-05-16,
120,Customer120,North,2025-04-29,True,2025-04-29,
121,Customer121,Central,2024-01-06,True,2024-01-06,
122,Customer122,South,2024-07-21,True,2024-07-21,
123,Customer123,West,2024-09-06,True,2024-09-06,
124,Customer124,Central,2024-01-28,True,2024-01-28,
125,Customer125,East,2024-07-08,True,2024-07-08,
126,Customer126,North,2025-07-23,True,2025-07-23,
127,Customer127,Central,2024-11-10,True,2024-11-10,
128,Customer128,East,2025-02-25,True,2025-02-25,
129,Customer129,North,2024-01-31,True,2024-01-31,
130,Customer130,South,2024-09-10,True,2024-09-10,
131,Customer131,West,2025-02-04,True,2025-02-04,
132,Customer132,North,2025-04-21,True,2025-04-21,
133,Customer133,South,2024-03-08,True,2024-03-08,
134,Customer134,South,2025-09-10,True,2025-09-10,
135,Customer135,East,2025-06-17,True,2025-06-17,
136,Customer136,Central,2024-05-14,True,2024-05-14,
137,Customer137,North,2024-07-27,True,2024-07-27,
138,Customer138,Central,2024-08-15,True,2024-08-15,
139,Customer139,South,2025-09-14,True,2025-09-14,
140,Customer140,West,2024-03-10,True,2024-03-10,
141,Customer141,East,2025-01-09,True,2025-01-09,
142,Customer142,East,2024-04-21,True,2024-04-21,
143,Customer143,South,2024-10-12,True,2024-10-12,
144,Customer144,West,2024-09-25,True,2024-09-25,
145,Customer145,East,2025-02-26,True,2025-02-26,
146,Customer146,South,2025-10-12,True,2025-10-12,
147,Customer147,East,2024-03-24,True,2024-03-24,
148,Customer148,South,2024-10-12,True,2024-10-12,
149,Customer149,North,2024-03-20,True,2024-03-20,
150,Customer150,West,2024-11-18,True,2024-11-18,
151,Customer151,North,2025-08-26,True,2025-08-26,
152,Customer152,Central,2025-12-01,True,2025-12-01,
153,Customer153,South,2025-01-14,True,2025-01-14,
154,Customer154,Central,2025-09-22,True,2025-09-22,
155,Customer155,West,2024-03-27,True,2024-03-27,
156,Customer156,East,2024-09-29,True,2024-09-29,
157,Customer157,South,2025-05-31,True,2025-05-31,
158,Customer158,Central,2025-09-29,True,2025-09-29,
159,Customer159,West,2025-09-23,True,2025-09-23,
160,Customer160,East,2025-09-02,True,2025-09-02,
161,Customer161,Central,2024-06-14,True,2024-06-14,
162,Customer162,East,2024-11-12,True,2024-11-12,
163,Customer163,West,2025-08-20,True,2025-08-20,
164,Customer164,East,2025-01-27,True,2025-01-27,
165,Customer165,Central,2025-01-06,True,2025-01-06,
166,Customer166,West,2024-12-13,True,2024-12-13,
167,Customer167,West,2025-05-19,True,2025-05-19,
168,Customer168,East,2024-04-22,True,2024-04-22,
169,Customer169,East,2024-11-21,True,2024-11-21,
170,Customer170,North,2025-03-19,True,2025-03-19,
171,Customer171,Central,2024-04-30,True,2024-04-30,
172,Customer172,South,2025-05-04,True,2025-05-04,
173,Customer173,Central,2025-06-08,True,2025-06-08,
174,Customer174,East,2024-03-18,True,2024-03-18,
175,Customer175,East,2025-04-05,True,2025-04-05,
176,Customer176,Central,2025-10-06,True,2025-10-06,
177,Customer177,South,2024-04-27,True,2024-04-27,
178,Customer178,West,2025-09-15,True,2025-09-15,
179,Customer179,East,2024-10-15,True,2024-10-15,
180,Customer180,Central,2025-07-24,True,2025-07-24,
181,Customer181,North,2024-09-14,True,2024-09-14,
182,Customer182,North,2024-01-20,True,2024-01-20,
183,Customer183,East,2024-12-28,True,2024-12-28,
184,Customer184,West,2024-02-12,True,2024-02-12,
185,Customer185,West,2024-02-17,True,2024-02-17,
186,Customer186,Central,2024-08-15,True,2024-08-15,
187,Customer187,East,2024-08-06,True,2024-08-06,
188,Customer188,North,2024-11-25,True,2024-11-25,
189,Customer189,East,2024-08-14,True,2024-08-14,
190,Customer190,North,2025-03-19,True,2025-03-19,
191,Customer191,South,2025-02-06,True,2025-02-06,
192,Customer192,Central,2025-04-20,True,2025-04-20,
193,Customer193,North,2024-05-09,True,2024-05-09,
194,Customer194,South,2024-01-18,True,2024-01-18,
195,Customer195,Central,2024-08-17,True,2024-08-17,
196,Customer196,Central,2024-09-16,True,2024-09-16,
197,Customer197,Central,2025-04-05,True,2025-04-05,
198,Customer198,Central,2024-08-19,True,2024-08-19,
199,Customer199,South,2024-08-15,True,2024-08-15,
200,Customer200,Central,2024-01-26,True,2024-01-26,
201,Customer201,East,2024-05-31,True,2024-05-31,
202,Customer202,East,2024-11-01,True,2024-11-01,
203,Customer203,East,2024-09-01,True,2024-09-01,
204,Customer204,Central,2024-02-05,True,2024-02-05,
205,Customer205,South,2025-08-22,True,2025-08-22,
206,Customer206,Central,2025-07-06,True,2025-07-06,
207,Customer207,West,2025-11-17,True,2025-11-17,
