product_id,product_name,category,price
1,Product1,Clothing,4395.89
2,Product2,Books,2868.88
3,Product3,Clothing,3364.95
4,Product4,Home,4595.99
5,Product5,Home,222.08
6,Product6,Sports,4856.91
7,Product7,Home,1026.84
8,Product8,Home,2593.41
9,Product9,Books,1281.44
10,Product10,Clothing,835.8
11,Product11,Clothing,1281.6
12,Product12,Books,151.75
13,Product13,Clothing,1868.25
14,Product14,Home,501.99
15,Product15,Sports,2393.7
16,Product16,Home,3942.94
17,Product17,Home,2680.47
18,Product18,Books,3565.83
19,Product19,Home,4983.27
20,Product20,Home,1247.81
21,Product21,Clothing,3702.29
22,Product22,Home,2543.46
23,Product23,Clothing,2766.54
24,Product24,Clothing,1889.95
25,Product25,Sports,2921.19
26,Product26,Books,1398.7
27,Product27,Sports,4488.03
28,Product28,Sports,3725.71
29,Product29,Clothing,357.08
30,Product30,Clothing,2220.35
31,Product31,Sports,4987.44
32,Product32,Home,1774.39
33,Product33,Sports,1392.25
34,Product34,Home,3751.68
35,Product35,Books,3806.53
36,Product36,Electronics,2688.32
37,Product37,Sports,1202.66
38,Product38,Clothing,2316.39
39,Product39,Electronics,1216.83
40,Product40,Sports,717.09
41,Product41,Electronics,254.53
42,Product42,Sports,1602.18
43,Product43,Home,3647.77
44,Product44,Electronics,2832.7
45,Product45,Sports,564.27
46,Product46,Sports,1240.13
47,Product47,Clothing,471.51
48,Product48,Home,631.76
49,Product49,Clothing,981.99
50,Product50,Electronics,1997.73
51,Product51,Books,3830.26
52,Product52,Sports,2248.71
53,Product53,Clothing,176.33
54,Product54,Books,1307.64
55,Product55,Books,2643.98
56,Product56,Sports,2597.01
57,Product57,Sports,3946.55
58,Product58,Home,4707.57
59,Product59,Home,4973.36
60,Product60,Sports,395.67
61,Product61,Clothing,1023.91
62,Product62,Clothing,2302.64
63,Product63,Electronics,1962.29
64,Product64,Sports,2923.19
65,Product65,Home,4382.39
66,Product66,Electronics,2543.99
67,Product67,Sports,1130.09
68,Product68,Sports,4503.04
69,Product69,Sports,4608.55
70,Product70,Sports,1459.74
71,Product71,Clothing,1492.36
72,Product72,Electronics,4331.87
73,Product73,Home,1940.04
74,Product74,Sports,3846.65
75,Product75,Sports,3075.46
76,Product76,Home,1093.51
77,Product77,Clothing,3496.02
78,Product78,Sports,2199.06
79,Product79,Clothing,4498.52
80,Product80,Home,1841.08
81,Product81,Home,2908.73
82,Product82,Books,798.56
83,Product83,Books,151.64
84,Product84,Clothing,3797.06
85,Product85,Books,1320.65
86,Product86,Books,2310.21
87,Product87,Electronics,3307.07
88,Product88,Electronics,4945.58
89,Product89,Electronics,905.55
90,Product90,Books,1835.03
91,Product91,Books,1608.42
92,Product92,Clothing,4171.85
93,Product93,Clothing,1938.35
94,Product94,Electronics,2345.23
95,Product95,Books,711.54
96,Product96,Sports,4154.92
97,Product97,Home,3735.3
98,Product98,Electronics,3878.03
99,Product99,Books,4561.61
100,Product100,Clothing,4456.35
101,Product101,Home,4267.87
102,Product102,Sports,4309.78
103,Product103,Books,716.77
104,Product104,Clothing,974.55
105,Product105,Home,836.67
106,Product106,Clothing,3383.06
107,Product107,Books,3951.47
