product_id,product_name,category,price,_corrupt_record,ingestion_timestamp,source_file
1,Product1,clothing,4395.89,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
2,Product2,books,2868.88,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
3,Product3,clothing,3364.95,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
4,Product4,home,4595.99,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
5,Product5,home,222.08,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
6,Product6,sports,4856.91,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
7,Product7,home,1026.84,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
8,Product8,home,2593.41,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
9,Product9,books,1281.44,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
10,Product10,clothing,835.8,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
11,Product11,clothing,1281.6,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
12,Product12,books,151.75,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
13,Product13,clothing,1868.25,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
14,Product14,home,501.99,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
15,Product15,sports,2393.7,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
16,Product16,home,3942.94,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
17,Product17,home,2680.47,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
18,Product18,books,3565.83,,2026-02-17T06:33:28.351Z,file:///opt/spark-apps/data/raw/products.csv
